file_path	line_number	line_content	integration_type	gemini_is_integration	gemini_direction	gemini_reason	bge_is_integration	bge_direction	bge_nearest_score	claude_is_integration	claude_direction	claude_reason	all_agree	agreement_pattern
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/AnalysisConfig.java	79	ImmutableList.of(new DialectRegistryItem("IDMS", URI.create(String.format("file://%s", dialectJarPath)), "Some Description", "Some ID")),	file_io	True	outward	The code constructs a URI with the 'file://' scheme, explicitly referencing a local file system reso	False	not_integration	0.663	False	not_integration	File metadata operation (not meaningful I/O)	False	I-N-N
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/OutlineNodeNames.java	32	public static final String FILE_SECTION = "FILE SECTION";	file_io	False	not_integration	This is a string constant representing a COBOL language construct, not an actual file system operati	False	not_integration	0.692	False	not_integration	COBOL string literal in Java code	True	N-N-N
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/benchmark/BenchmarkServiceImpl.java	73	Files.write(path, Collections.singleton(createHeaderLine(measurements)), StandardOpenOption.CREATE);	file_io	True	outward	The `Files.write` method explicitly performs a file system write operation to create a new file.	True	outward	0.773	True	outward	Actual file I/O operation	True	I-I-I
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/benchmark/BenchmarkServiceImpl.java	80	Files.write(path, Collections.singleton(timingLine), StandardOpenOption.APPEND);	file_io	True	outward	The `Files.write` method explicitly performs a file system write operation to append to an existing 	True	ambiguous	0.761	True	outward	Actual file I/O operation	True	I-I-I
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/copybook/CopybookProcessingMode.java	27	public final boolean download;	file_io	False	not_integration	The term 'download' here is a boolean field name, not an active operation indicating an integration 	True	ambiguous	0.720	False	not_integration	Boolean field/param named 'download'	False	N-I-N
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/copybook/CopybookProcessingMode.java	30	CopybookProcessingMode(boolean analyze, boolean download, boolean userInteraction) {	file_io	False	not_integration	The term 'download' here is a constructor parameter name, not an active operation indicating an inte	False	not_integration	0.677	False	not_integration	Boolean field/param named 'download'	True	N-N-N
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/copybook/CopybookProcessingMode.java	32	this.download = download;	file_io	False	not_integration	The term 'download' here is a field assignment, not an active operation indicating an integration bo	True	ambiguous	0.730	False	not_integration	Boolean field/param named 'download'	False	N-I-N
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/file/FileSystemService.java	60	String getContentByPath(@NonNull Path file);	file_io	True	outward	This interface method contract explicitly defines reading content from a file, indicating a file sys	True	inward	0.782	True	outward	Gemini tiebreaker: outward	True	I-I-I
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/file/FileSystemService.java	68	boolean fileExists(@Nullable Path file);	file_io	True	outward	This interface method contract explicitly defines checking for file existence, indicating a file sys	False	not_integration	0.686	True	outward	Gemini tiebreaker: outward	False	I-N-I
/Users/asgupta/code/smojol/che-che4z-lsp-for-cobol-integration/server/common/src/main/java/org/eclipse/lsp/cobol/common/file/WorkspaceFileService.java	50	public boolean fileExists(@Nullable Path file) {	file_io	True	outward	This method checks for file existence, which is a direct interaction with the file system.	False	not_integration	0.670	False	not_integration	File metadata operation (not meaningful I/O)	False	I-N-N
